title,year,rating,votes,genres,plot,imdb_id
The Wanderers,1979.0,7.3,12693.0,"Crime,Drama,Romance","The Wanderers is a teenage, Italian gang in Bronx, NYC, 1963. They have their confrontations with other gangs. Drugs and weapons are uncool. Adult life awaits them.",tt0080117
The Black Stallion,1979.0,7.4,14433.0,"Adventure,Family,Sport","After being shipwrecked with a magnificent horse off the coast of Africa in the 1940s, a boy bonds with the stallion, and trains him to race after their rescue.",tt0078872
The Human Monster,1939.0,5.7,1592.0,"Crime,Drama,Horror,Mystery,Thriller",Insurance agent-physician collects on policies of men murdered by a disfigured resident of the home for the blind where he acts as doctor-on-call.,tt0031208
The Saint's Vacation,1941.0,5.8,617.0,"Comedy,Crime,Drama,Mystery","While on vacation, the Saint discovers a much-sought-after music box.",tt0034146
Der Kahn der fröhlichen Leute,1950.0,4.7,15.0,,"Fiercely independent skipper Marianne accepts her uncle as her guardian and Michel as engineer on her barge. After a quarrel with Michel she hires a trio of musicians as deck-hands on board, but they lack the necessary sailor skills.",tt0236355
Quantum of Solace,2008.0,6.5,478848.0,"Action,Adventure,Mystery,Thriller",James Bond tries to stop an organisation from eliminating a country's most valuable resource.,tt0830515
The Bat,2022.0,7.8,845484.0,"Action,Crime,Drama,Mystery,Thriller","When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.",tt1877830
Jane Eyre,2011.0,7.3,94476.0,"Drama,Mystery,Romance",A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,tt1229822
Tintomara,1970.0,5.1,19.0,,"In March 1792 the Swedish King Gustav III is murdered at a masked ball. Five young people are involved in the murder story, including Tintomara, a 17-year-old inter-sex who dominates over the others.",tt0066460
Night at the Museum,2006.0,6.5,387214.0,"Adventure,Comedy,Family,Fantasy",A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,tt0477347
Les Misérables,2012.0,7.5,351079.0,"Drama,Musical,Romance","In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",tt1707386
The Valley of Fear,1983.0,6.6,176.0,"Animation,Family,Mystery",A withdrawn violinist and smoker met with a doctor and attaches him to the criminal world.,tt0238597
Il Cappotto,1952.0,7.5,714.0,"Comedy,Drama,Fantasy","Based on the Nikolai Gogol story but set in 1950s Italy, THE OVERCOAT is the story of a poor city hall clerk (Renato Rascel) whose only desire is to buy a new overcoat.",tt0044474
The Thin Red Line,1998.0,7.6,203400.0,"Drama,History,War","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",tt0120863
The Rum Diary,2011.0,6.1,108794.0,"Comedy,Drama",American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.,tt0376136
Derailed,2005.0,6.6,77308.0,"Crime,Drama,Thriller","When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",tt0398017
The Exorcist,1973.0,8.1,469666.0,Horror,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life.",tt0070047
Gates to Paradise,1968.0,6.1,245.0,Drama,"In 1212, children from all over Europe lead a crusade to free Jerusalem from Turkish authorities. Nicholas and Stephen use all their might to defeat the enemy.",tt0062461
Devdas,2002.0,7.5,48167.0,"Drama,Musical,Romance","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",tt0238936
Sacrifice,1986.0,7.9,32263.0,Drama,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",tt0091670
The Sentinel,1977.0,6.3,12580.0,Horror,A young woman moves into an apartment in a building which houses a sinister evil.,tt0076683
The Last Hurrah,1958.0,7.3,4318.0,Drama,"Frank Skeffington is an old Irish-American political boss, running for re-election as mayor of a U.S. town for the last time.",tt0051845
Destry Rides Again,1939.0,7.6,12863.0,"Comedy,Western","Deputy sheriff Destry tames the town of Bottle Neck, including saloon singer Frenchy.",tt0031225
Three Sad Tigers,1968.0,6.9,399.0,Drama,The drunken nights of several listless chancers in Chile's capital city build inexorably to violence.,tt0063718
The Borrowers,1997.0,5.9,24033.0,"Adventure,Comedy,Family,Fantasy",A secret family of four-inch people living inside the walls of a house must save their home from an evil real estate developer.,tt0118755
The Phantom of the Opera,2004.0,7.2,133019.0,"Drama,Musical,Romance,Thriller",A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,tt0293508
First Blood,1982.0,7.7,283838.0,"Action,Adventure,Thriller",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,tt0083944
Across to Singapore,1928.0,6.2,1221.0,"Crime,Drama,Romance",Conflict ensues when a young man's childhood sweetheart becomes betrothed to his older brother.,tt0018618
Janumada Jodi,1996.0,7.9,133.0,"Drama,Romance",A lovelorn village boy and girl cross all barriers of caste and tradition to unite in a meaningful manner.,tt0245978
V2: Dead Angel,2007.0,6.2,2582.0,"Action,Mystery,Thriller","The tough Detective Vares, get hired by a friend accused of murdering a girl. His job is to find the real killer, but people aren't talking. Before he can get traction another homicide takes place- and things move toward a dire conclusion.",tt0489325
Confessions of a Teenage Drama Queen,2004.0,4.7,32046.0,"Comedy,Family,Music,Romance","A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",tt0361467
L'Argent,2024.0,5.0,592.0,"Action,Adventure,Drama,Mystery,Thriller","It follows Largo Winch, who is devastated by the kidnapping of his son. He realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.",tt23049322
The Boys in the Band,2020.0,6.8,18602.0,Drama,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",tt10199914
The Da Vinci Code,2006.0,6.6,467105.0,"Mystery,Thriller","A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",tt0382625
I Am a Camera,1955.0,6.3,670.0,"Comedy,Drama","In Weimar-era Berlin, an aspiring writer strikes up a friendship with a vivacious, penniless singer.",tt0048188
Ben-Hur,1959.0,8.1,259168.0,"Adventure,Drama","A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",tt0052618
The Thief Lord,2006.0,5.9,6328.0,"Adventure,Drama,Family,Fantasy","After their mother dies, two boys flee their mean aunt and head for Venice, Italy, where they meet Scipio, the mysterious ""Thief Lord."" Along with a small gang of abandoned kids, the boys start robbing the rich to support themselves.",tt0430674
The Wages of Fear,,,,"Drama,Thriller",,tt5267458
The Passing of Mr. Quinn,2023.0,6.5,68.0,Crime,"Twin brothers John and George Danes are visited by a stranger who knows where they are heading, announces himself as 'the murderer' then disappears. On arrival it isn't long before a guest is found dead in mysterious circumstances.",tt18399030
Hayate the Combat Butler! Heaven Is a Place on Earth,2011.0,6.7,46.0,"Animation,Comedy,Romance","Hayate, Nagi and the gang spend the last days of summer break at Nishizawa's countryside vacation home. But a mysterious spirit has concocted a scheme to separate the butler from his young mistress.",tt3818654
Paris at Midnight,2011.0,7.6,456929.0,"Comedy,Fantasy,Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",tt1605783
Wolfen,1981.0,6.3,11843.0,"Horror,Thriller",A New York cop investigates a series of brutal deaths that resemble animal attacks.,tt0083336
The Book of Revelation,2006.0,5.3,1703.0,"Crime,Drama,Mystery,Romance,Thriller","An erotic mystery about power and sex, the entanglement of victim and perpetrator, and a man's struggle to regain his lost self.",tt0424863
Doña Bárbara,2008.0,7.4,468.0,"Adventure,Drama,Family,Romance",A beautiful woman wants revenge twenty years after her lover's murder.,tt1287391
Roxanne,1987.0,6.6,48534.0,"Comedy,Romance",The large-nosed C.D. Bales is in love with the beautiful Roxanne; she falls for his personality but another man's looks.,tt0093886
Switching Channels,1988.0,5.9,4250.0,"Comedy,Crime",A television news chief courts his anchorwoman ex-wife with an eleventh-hour story.,tt0096203
Stand by Me,1986.0,8.1,455098.0,"Adventure,Comedy,Drama",A writer recounts a childhood journey with his friends to find the body of a missing boy.,tt0092005
Winnetou - 3. Teil,1965.0,6.6,2970.0,"Action,Adventure,Western","Rollins' gang wants to grab land by inciting the settlers in a war against the Indians but Winnetou and Old Shatterhand try to keep the peace, until Rollins frames Winnetou up for the murder of Jicarilla Chief's son.",tt0059915
Triumph of the Nerds,1996.0,8.4,1398.0,Documentary,"Three part documentary series that tells the story of the birth of the personal computer, with the candid recollections of PC pioneers, like Steve Wozniak, Steve Jobs and Bill Gates.",tt0115398
Point Blank,1967.0,7.3,24312.0,"Crime,Drama,Thriller","After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him.",tt0062138
Brewster's Millions,2024.0,7.1,105.0,Family,"Follows Morgan Brewster's quest to inherit her uncle's fortune before Christmas. Amid holiday chaos, she discovers love, faith, and family's importance through giving.",tt31955992
This Sweet Sickness,1977.0,6.6,703.0,"Drama,Mystery,Romance,Thriller","A man is desperately attaining beloved woman, despite her husband and child.",tt0075946
The Sea Beast,2022.0,7.0,60630.0,"Animation,Action,Adventure,Comedy,Family,Fantasy,Thriller","When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",tt9288046
Brewster's Millions,2024.0,7.1,105.0,Family,"Follows Morgan Brewster's quest to inherit her uncle's fortune before Christmas. Amid holiday chaos, she discovers love, faith, and family's importance through giving.",tt31955992
Camille 2000,1969.0,5.7,860.0,"Drama,Romance","In Rome, a drug-addicted courtesan falls in love with a man who insists that she gives up her lavish, orgiastic lifestyle for fidelity, but tragedy soon ensures.",tt0064122
Fine Things,1990.0,6.2,454.0,"Drama,Romance","This standard romantic melodrama from prolific romance-novelist Danielle Steel features gorgeous leads, cute kids, tragic illness and death, a nasty custody battle with a ruthless villain, painful rebuilding, deeply-felt emotions, and beautiful settings.—John Sacksteder <jsackste@bellsouth.net>",tt0099574
21,2008.0,6.8,270541.0,"Crime,Drama,Thriller","Inspired by real events and people, 21 is about six MIT students who become trained to be experts in card counting in Black Jack and subsequently took Vegas casinos for millions in winnings.",tt0478087
The Garden of the Finzi-Continis,,,,Drama,,tt4895994
The Lost World,1997.0,6.6,452884.0,"Action,Adventure,Sci-Fi","A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.",tt0119567
Stalker,1979.0,8.0,148622.0,"Drama,Sci-Fi",A guide leads two men through an area known as the Zone to find a room that grants wishes.,tt0079944
Howling III,1987.0,3.5,5714.0,"Comedy,Horror","A female werewolf runs away from her family, and falls in love with a man who works in the movie business, while a sociologist who studies these creatures is looking for proof of their existence.",tt0093227
Corinna Schmidt,1951.0,7.6,10.0,Drama,"Late 19th Century Berlin. The stately house of the commerce councillor Jenny Treibel has done something to Corinna, a destitute professor's daughter. Therefore, she conveniently falls into a relationship with Treibels' son Leopold, despite Leopold's mother's intentions to thwart such scandalous trysting between her son and the penniless girl. Yet as the two's secret engagement attains public attention, they are pressured into an immediate marriage. Corinna has already seen through the intrigue, however, and turns her affections toward her cousin Marcel, a social democrat whom has been thrown out of the country. Marcel knows that Corinna waits for him.—DEFA Film Library",tt0230104
Viy,2014.0,5.2,6695.0,"Adventure,Fantasy,Mystery,Thriller","An eighteenth century English cartographer, Jonathan Green, sets out on a journey to map the uncharted lands of Transylvania, only to discover the dark secrets and dangerous creatures hidden in a cursed, fantastical Romanian forest.",tt1224378
Voyage of the Unicorn,2001.0,6.5,1953.0,"Adventure,Fantasy","A grieving professor and his daughters traverse a magical realm to fulfill a prophecy, encountering mythical creatures and facing trolls while seeking a dragon's aid, with the spirit of their late mother guiding them.",tt0249326
Love in the Time of Cholera,2007.0,6.4,24399.0,"Drama,Romance","Florentino, rejected by the beautiful Fermina at a young age, devotes much of his adult life to carnal affairs as a desperate attempt to heal his broken heart.",tt0484740
Aquamarine,2006.0,5.4,46195.0,"Comedy,Family,Fantasy,Romance",Two teenage girls discover a mermaid in their beach club's swimming pool.,tt0429591
The Fountainhead,1949.0,7.0,11167.0,"Drama,Romance","An uncompromising, visionary architect struggles to maintain his integrity and individualism despite personal, professional and economic pressures to conform to popular standards.",tt0041386
Der Jäger von Fall,1956.0,5.2,42.0,"Drama,Romance","A mountain girl gives birth out of wedlock.A hunter who loves her finds the man who had dishonored her, a poacher, and eliminates him.",tt0132262
"20,000 Leagues Under the Sea",1954.0,7.2,38236.0,"Adventure,Drama,Family,Fantasy,Sci-Fi","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",tt0046672
Dark Water,2005.0,5.6,66286.0,"Drama,Horror,Mystery","A mother and daughter, still wounded from a bitter custody dispute, hole up in a run-down apartment building, where they are targeted by the ghost of a former resident.",tt0382628
The First Great Train Robbery,1978.0,6.9,20118.0,"Adventure,Crime,Drama,Thriller","England, 1850s. A master criminal aims to rob a train of a large sum of gold. Security is incredibly tight and the task seems an impossible one. However, he has a plan and just the right people to carry it out.",tt0079240
A Christmas Carol,2009.0,6.8,132988.0,"Animation,Adventure,Comedy,Drama,Family,Fantasy","Ebenezer Scrooge, a miserly old moneylender is visited by three Christmas spirits on Christmas Eve. Scrooge embarks on a journey of self-redemption to mend his miserly ways",tt1067106
M. Butterfly,1993.0,6.7,11196.0,"Drama,Romance","In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.",tt0107468
Es geschah am hellichten Tag,1958.0,7.8,5765.0,"Crime,Drama,Thriller","Having doubts about the guilt of the obvious suspect in the murder of an eight year old girl, a police detective decides to investigate the case on his own.",tt0051588
Becket,1964.0,7.8,16247.0,"Biography,Drama,History","King Henry II of England comes to terms with his affection for his close friend and confidant Thomas Becket, who finds his true honor by observing God's divine will rather than the King's.",tt0057877
Straw Dogs,1971.0,7.4,65713.0,"Crime,Drama,Thriller",A young American and his English wife come to rural England and face increasingly vicious local harassment.,tt0067800
A Christmas Story,1983.0,7.9,171690.0,"Comedy,Family","In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.",tt0085334
White Deer Plain,2011.0,6.4,457.0,"Drama,History",In the White Deer Village in Shaanxi Province the two most important families - Bai and Lu - and their sons have always lived together in peace. But the turmoil leads to a fierce struggle for land ownership.,tt1727396
Common Clay,1930.0,6.2,77.0,"Drama,Romance","Young Ellen Neal gets work as a servant with the wealthy Fullerton family and falls in love with their handsome young son. But he leaves her with child, and when she attempts to gain recognition for her child, the Fullerton family treats her as a blackmailer. But a surprise awaits them all.—Jim Beaver <jumblejim@prodigy.net>",tt0020781
The Old Dark House,1932.0,7.0,13698.0,"Adventure,Comedy,Drama,Horror,Thriller","Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate.",tt0023293
The Dull Ice Flower,1989.0,8.2,444.0,"Family,Drama","A young fine-art teacher Kuo is assigned to teach in a small-town. Ah-Ming, an eight-year-old painting genius, is in Kuo's class. Ah- Ming performed badly in school, but he has great sense of color and shape; his imagination is always unique. However, the poverty of his family prevents him from freely painting. Kuo is in charge of selecting representive for a painting competition. Kuo votes for Ah-Ming, but all other teachers choose the mayor's son for the school's and their own benefit. Kuo leaves the school as a proterting gesture. Ah-Ming is upset by losing the support of Kuo in his creating. He gets a sudden liver sickness and dies. After that, the school learns that Kuo send Ah-Ming's work to an international competition, and it wins the gold medal. The school realizes Ah-Ming's talent, but it is too late.—L.H. Wong <as9401k56@ntuvax.ntu.ac.sg>",tt0097791
Castaway,1986.0,5.8,3604.0,"Adventure,Biography,Drama",Middle-aged Gerald Kingsland advertises in a London paper for a female companion to spend a year with him on a desert island.,tt0092732
Great Expectations,1998.0,6.8,57827.0,"Drama,Romance",Modernization of Charles Dickens' classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.,tt0119223
The African Queen,1951.0,7.7,85854.0,"Adventure,Drama,Romance,War","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",tt0043265
Water for Elephants,2011.0,6.9,121530.0,"Drama,Romance","Jacob takes a job as an animal caretaker in a traveling circus. There he meets Marlena, a beautiful circus performer. Their shared compassion for a special elephant Rosie leads to love, but Marlena's cruel husband stands in their way.",tt1067583
The Informer,2019.0,6.6,43619.0,"Action,Crime,Drama,Thriller",An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,tt1833116
Murder!,1984.0,7.2,30526.0,"Crime,Drama,Mystery","Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters.",tt0086765
Rosencrantz & Guildenstern Are Dead,1990.0,7.3,24232.0,"Comedy,Drama",Two minor characters from the play 'Hamlet' stumble around unaware of their scripted lives and unable to deviate from them.,tt0100519
Oliver's Story,1978.0,4.7,1088.0,"Drama,Romance","In this sequel to Love Story (1970), grieving Oliver is being pressured by his in-laws to move on and take part in the family business. He meets a pretty heiress and they start dating, but memories of Jennie come rushing back.",tt0078024
Dracula 2000,2000.0,4.9,37344.0,"Action,Fantasy,Horror,Thriller",Dracula slakes his blood thirst and renews his search for love in New Orleans.,tt0219653
Mästerdetektiven lever farligt,1996.0,5.9,724.0,"Family,Adventure,Mystery",The story is about a boy named Kalle Blomkvist who with his friends solves crimes. But also play the battle between the red rose and the white rose with his rival friends. But everything changes when Kalle Blomkvists friend finds a dead man in a cabin and then must his friends and he find the murdurer.,tt0116741
I Hired a Contract Killer,1990.0,7.2,8036.0,"Comedy,Crime,Drama,Romance","Henri is depressed after losing his job, but finds himself too afraid to go through with suicide. He hires a contract killer to do the job for him instead - but what happens if he changes his mind?",tt0099818
I Am Number Four,2011.0,6.1,248610.0,"Action,Adventure,Sci-Fi,Thriller","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.",tt1464540
Murders in the Rue Morgue,1986.0,5.7,1450.0,"Crime,Mystery,Horror",A detective comes out of retirement to help his daughter's fiance prove that he did not commit a series of murders.,tt0091574
Hangman's Curse,2003.0,4.8,2753.0,"Horror,Mystery,Thriller","Bullying students at Rogers High School are dying from screams about a legendary ghost. The Veritas Project, a trained investigative team, is working undercover to uncover the truth and protect the students from their own fears.",tt0342508
The Reluctant Fundamentalist,2012.0,6.8,14712.0,"Drama,Thriller","A young Pakistani man chasing corporate success on Wall Street finds himself embroiled in a conflict between his American Dream, a hostage crisis, and the enduring call of his family's homeland.",tt2032557
Eyes Wide Shut,1999.0,7.5,388996.0,"Drama,Mystery,Thriller","A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.",tt0120663
Kult ciała,1930.0,5.3,22.0,"Drama,Romance","A sculptor is desperately looking for a model for his latest work entitled New Venus. One day he meets girl who seems like perfect candidate. Soon, they both fall in love with each other.",tt0151267
Sabrina,2024.0,6.4,1992.0,"Documentary,Comedy,Music",Pop icon Sabrina Carpenter jingles all the bells in her first ever variety music special.,tt33427273
Butterflies Are Free,1972.0,7.2,6113.0,"Comedy,Drama,Music,Romance",A blind man moves into his own apartment against the wishes of his overprotective mother and befriends the freethinking young woman next door.,tt0068326
The Sign of Four,1987.0,7.9,4677.0,"Adventure,Crime,Drama,Mystery,Thriller",The disappearance of a young woman's father and a mysterious note years later after the strange regular annual delivery of valuable pearls to her puts Sherlock Holmes on the case.,tt0685628
The Fifth Musketeer,1979.0,5.3,885.0,"Action,Adventure,Romance","When French King Louis XIV (Beau Bridges) learns that his twin brother, Philippe (Beau Bridges), could usurp his crown, he sets out to imprison him in the Bastille prison but four loyal musketeers are protecting Philippe.",tt0079152
Soldier in the Rain,1963.0,6.6,2035.0,"Comedy,Drama,Romance",The bond of friendship between a worldly-wise Army Master Sergeant and his naive worshiper.,tt0057517
Saturday Night and Sunday Morning,1960.0,7.5,9535.0,"Drama,Romance","A rebellious, hard-living factory worker juggles relationships with two women, one of whom is married to another man but pregnant with his child.",tt0054269
Drums Along the Mohawk,1939.0,7.0,6947.0,"Drama,Romance,War,Western",Newlyweds Gil and Lana Martin try to establish a farm in the Mohawk Valley but are menaced by Indians and Tories as the Revolutionary War begins.,tt0031252
Under the Volcano,1984.0,6.8,6437.0,Drama,A day in the life of a self-destructive British consul in Mexico on the eve of World War II.,tt0088322
Seabiscuit,2003.0,7.3,77787.0,"Drama,History,Sport",True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,tt0329575
Mission to Moscow,1994.0,3.5,36829.0,"Comedy,Crime",The Russian government hires the veterans of the Police Academy (1984) to help deal with the Mafia.,tt0110857
Manon 70,1968.0,5.8,557.0,Drama,"The immortal story of beautiful Manon, who - although she loves the tolerant De Grieux - takes many lovers to satisfy her thirst for luxury.",tt0063271
"Jungfer, Sie gefällt mir",1969.0,7.0,21.0,Comedy,"A Saxon village in 1792: While the Prussians go against France, the haymaking takes place in the village and the resolute Marthe catches her daughter Ev with the village blacksmith Ruprecht in the hay.",tt0063166
The Agony and the Ecstasy,1965.0,7.2,8292.0,"Biography,Drama,History",The biographical story of Michelangelo's troubles while painting the Sistine Chapel at the urging of Pope Julius II.,tt0058886
Tom & Viv,1994.0,6.2,1909.0,"Biography,Drama,Romance","In 1915, Tom and Viv elope, but her gynecological and emotional problems disrupt their honeymoon. Her father is angry because Tom's poetry doesn't bring in enough to live, but her mother is happy Viv has found a tender and discreet husband.",tt0111454
Tuesdays with Morrie,1999.0,7.4,4997.0,"Biography,Drama","A journalist finds himself questioning his own life when his best friend, a dying man, offers him some very powerful wisdom and advice for coping in relationships, careers and society.",tt0207805
Fukkatsu no hi,1980.0,6.2,3193.0,"Adventure,Drama,Horror,Sci-Fi,Thriller","After a virus devastates the global human population, survivors in Antarctica desperately try to find a cure and save the human race.",tt0080768
Death in Venice,1971.0,7.3,23576.0,"Drama,Romance","While recovering in Venice, sickly composer Gustav von Aschenbach becomes dangerously fixated with teenager Tadzio.",tt0067445
Of Mice and Men,1992.0,7.4,48473.0,"Drama,Western","A nomadic farm worker looks after his dimwitted, gentle-giant friend during the Great Depression.",tt0105046
Peter Pan,2003.0,6.8,81681.0,"Adventure,Family,Fantasy,Romance","The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.",tt0316396
The Miracle Worker,1962.0,8.1,21015.0,"Biography,Drama","The story of Anne Sullivan's struggle to teach the blind, deaf and mute child Helen Keller how to understand and communicate.",tt0056241
The Sign of Four,1987.0,7.9,4677.0,"Adventure,Crime,Drama,Mystery,Thriller",The disappearance of a young woman's father and a mysterious note years later after the strange regular annual delivery of valuable pearls to her puts Sherlock Holmes on the case.,tt0685628
Spartacus,2010.0,8.5,262869.0,"Action,Adventure,Biography,Drama,Romance","The life of Spartacus, the gladiator who led a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",tt1442449
Tom Sawyer,1973.0,6.4,2706.0,"Adventure,Musical,Family",Tom Sawyer and Huckleberry Finn investigate a suspicious graveyard murder and more in this musical version of Mark Twain's novel.,tt0070814
Bel Ami,2012.0,5.4,19480.0,"Crime,Drama,History,Romance",A chronicle of a young man's rise to power in Paris via his manipulation of the city's wealthiest and most influential women.,tt1440732
Kidnapped,2010.0,6.4,8674.0,"Action,Horror,Thriller","Three hooded Eastern-European criminals burst into a home in a Madrid gated community, holding the family hostage in its own home, and forcing the father to empty his credit cards.",tt1629377
Black Hawk Down,2001.0,7.7,432842.0,"Action,Drama,History,War","The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",tt0265086
Nana,2006.0,8.5,6721.0,"Animation,Comedy,Drama,Music,Romance","Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape.",tt0810705
The Conscript,1974.0,6.5,358.0,Drama,"In 1833, when the fledgling Belgian kingdom still fears a Dutch invasion, recruits were selected annually from an age cohort by a draw of lots in each locality. In this grim, then contemporary drama by the 'father of Flemish literature', Hendrik Conscience, Jan Braems, a poor and naive farmers-boy, accepts the not uncommon offer by a rich family to sell his lucky ticket (out) to their son for a hefty sum compared to the miserable labor wages at the time. Army life is even harsher then a farmhand's, especially for a Dutch-speaking an-alphabet who simply can't understand his francophone superiors, and Jan's nature is not complacent enough for military discipline even by todays standards, so he soon gets into all kinds of trouble, including gambling his capital away and a venereal disease. When his girlfriend back home goes looking for him, her life is doomed as well.—KGF Vissers",tt0070338
In the Heat of the Night,1988.0,7.6,6553.0,"Crime,Drama,Mystery,Thriller","The cases and adventures of the police forces in and around Sparta, Mississippi.",tt0094484
Hello,2024.0,7.4,2789.0,Comedy,"A man named Boney falls for Stefy and wants to marry her, but her deceased mother's ghost haunts her, disliking Boney. He faces the challenge of dealing with this supernatural obstacle to their relationship.",tt31702438
Nana,2006.0,8.5,6721.0,"Animation,Comedy,Drama,Music,Romance","Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape.",tt0810705
Adajya,1997.0,5.9,29.0,"Drama,Romance",The film is set in 1940s Assam. Three widows struggle to lead dignified lives despite the extreme restrictions mandated by law and custom.,tt0142066
Of Human Bondage,1964.0,6.5,1146.0,Drama,A medical student becomes obsessed with his faithless lover.,tt0058425
Devdas,2002.0,7.5,48167.0,"Drama,Musical,Romance","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain.",tt0238936
The Stork Caliph,1981.0,7.5,388.0,"Animation,Short,Fantasy,Mystery",A rich caliph is leading a careless life. One day an evil wizard sells him a magic potion that can turn human into any animal he wants. The only condition: one mustn't laugh.,tt0879824
The Battle of the Villa Fiorita,1965.0,5.8,309.0,"Drama,Romance","An English mother leaves husband and two children to follow her Italian lover to a lakeside villa. Her children follow her, intent in breaking up her affair.",tt0058949
"Romeo, Juliet and Darkness",2002.0,,,"Comedy,Drama","All havoc breaks loose on a film set, when 'The director' demands Gestapo perfection from his actors and crew, while hallucinating on his drugged coffee.",tt2456886
Schindler's List,1993.0,9.0,1492914.0,"Biography,Drama,History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",tt0108052
Les Misérables,2012.0,7.5,351079.0,"Drama,Musical,Romance","In 19th-century France, Jean Valjean, who, for decades, has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",tt1707386
Abar Byomkesh,2012.0,7.0,982.0,"Mystery,Thriller","On vacation in the foothills of Himalayas with his wife Satyabati and his best friend Ajit, private investigator Byomkesh gets embroiled in a simple photograph theft, which is quickly followed by a gruesome murder.",tt2403809
Ernest the Rebel,1938.0,5.5,102.0,"Comedy,Western","Adventures and misadventures of Ernest, the professional accordionist on a liner.",tt0169865
Die Hard,1988.0,8.2,969524.0,"Action,Thriller",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,tt0095016
